"SITE","can500","imp500","X","Y","lc21","lc22","lc23","lc24","lc.forest","lc.ag"
"AMERTINMD1",29.135507,2.430363,353989,4307825,0.0320733104238259,0.0366552119129439,0.0126002290950745,0,0.371134020618557,0.504009163802978
"ANDEMIKMD1",41.672523,7.732748,365427,4284837,0.153318077803204,0.153318077803204,0.0217391304347826,0,0.454233409610984,0.180778032036613
"ANDRKENVA1",83.828102,0.55207,296758,4310941,0.0423340961098398,0.0068649885583524,0,0,0.781464530892448,0.040045766590389
"ASSMCARMD1",41.026348,9.946047,321859,4317219,0.285223367697594,0.198167239404353,0.0160366552119129,0.00343642611683849,0.348224513172967,0.127147766323024
"BAINANDMD1",19.903387,25.649936,322188,4318117,0.306987399770905,0.467353951890034,0.11340206185567,0.00916380297823597,0.0355097365406644,0.0206185567010309
"BAKEKYLDC1",36.624843,20.486825,323133,4312090,0.180778032036613,0.372997711670481,0.113272311212815,0.0022883295194508,0.247139588100687,0.0446224256292906
"BALAELEMD1",41.947082,11.146081,314332,4315555,0.204337899543379,0.20662100456621,0.0148401826484018,0.00228310502283105,0.313926940639269,0.0627853881278539
"BALASUCMD1",41.623588,19.258468,330791,4319311,0.162471395881007,0.282608695652174,0.0549199084668192,0.040045766590389,0.409610983981693,0.0045766590389016
"BARBJERMD1",20.86951,14.173149,373506,4330349,0.16532721010333,0.204362801377727,0.0574052812858783,0.0275545350172216,0.218140068886338,0.29735935706085
"BARNDORMD1",37.023838,21.227102,326629,4315797,0.298285714285714,0.395428571428571,0.0845714285714286,0.0137142857142857,0.196571428571429,0.008
"BEALTOMMD1",33.883312,11.716436,344534,4315429,0.143513203214696,0.21239954075775,0.0551090700344432,0.00114810562571757,0.407577497129736,0.17451205510907
"BERGMICMD1",63.383941,6.991217,330969,4321981,0.175660160734788,0.158438576349024,0.0160734787600459,0,0.621125143513203,0.0149253731343284
"BERNCHRMD1",18.734834,5.952127,395186,4292723,0.216247139588101,0.0675057208237986,0.0011441647597254,0,0.135011441647597,0.218535469107551
"BLANBETMD1",40.259723,13.115432,366415,4329594,0.289805269186713,0.292096219931271,0.0148911798396334,0,0.191294387170676,0.0194730813287514
"BLOCDAVMD1",34.243412,24.003763,326359,4315991,0.290763968072976,0.424173318129989,0.0912200684150513,0.0125427594070696,0.158494868871152,0.0125427594070696
"BOONGREMD1",23.425344,21.695106,360143,4360156,0.326086956521739,0.389016018306636,0.074370709382151,0.0125858123569794,0.137299771167048,0.0537757437070938
"BORGRACMD1",0.060225,80.553321,359227,4349589,0.0034324942791762,0.0755148741418764,0.268878718535469,0.652173913043478,0,0
"BRENSTEMD1",56.035133,3.654956,326086,4279059,0.0881006864988558,0.0892448512585812,0,0,0.632723112128146,0.189931350114416
"BRIGGERMD1",42.933502,24.982433,337746,4318715,0.135476463834673,0.320321469575201,0.167623421354765,0.0195177956371986,0.322617680826636,0.026406429391504
"BROWANNDC1",1.006648,68.241424,321940,4307690,0.0206659012629162,0.107921928817451,0.44316877152698,0.351320321469575,0,0.00574052812858783
"BROWANNMD1",12.404545,24.756061,371339,4313671,0.166093928980527,0.262313860252005,0.0652920962199313,0.0698739977090493,0.0435280641466208,0.0320733104238259
"BRUNELIMD1",15.484315,27.656209,317880,4323087,0.379428571428571,0.393142857142857,0.117714285714286,0.0445714285714286,0.0377142857142857,0.024
"BUISNORVA1",49.626827,6.475561,303201,4290533,0.13745704467354,0.155784650630011,0.0011454753722795,0,0.565864833906071,0.0469644902634593
"BURDROBVA1",22.271017,16.435382,290201,4304592,0.26865671641791,0.338691159586682,0.0493685419058553,0.00114810562571757,0.194029850746269,0.128587830080367
"BURKSANMD1",39.321205,14.245922,319312,4316709,0.30045871559633,0.229357798165138,0.073394495412844,0.0172018348623853,0.173165137614679,0.0802752293577982
"BURNNANMD1",5.837078,1.205056,402220,4287691,0.100917431192661,0.00114678899082569,0,0,0.0137614678899083,0.259174311926606
"BURRHEAMD1",20.475954,15.459369,364866,4312243,0.21395881006865,0.151029748283753,0.0537757437070938,0.0091533180778032,0.137299771167048,0.0617848970251716
"CAINBRIMD1",15.728972,22.362667,370975,4313449,0.263761467889908,0.420871559633028,0.0481651376146789,0.0149082568807339,0.051605504587156,0.0378440366972477
"CALLNODMD1",6.084065,50.096611,330599,4312231,0.0939289805269187,0.424971363115693,0.367697594501718,0.11340206185567,0,0
"CAMPGLOMD1",29.286073,13.988707,333123,4325468,0.118993135011442,0.316933638443936,0.034324942791762,0,0.327231121281465,0.193363844393593
"CAMPLIBMD1",42.041404,4.130489,324029,4282747,0.194954128440367,0.0791284403669725,0.00114678899082569,0,0.462155963302752,0.223623853211009
"CAMPROSMD1",27.823085,14.203262,324891,4320298,0.503424657534247,0.19634703196347,0.0730593607305936,0.00114155251141553,0.105022831050228,0.0730593607305936
"CANTBOBMD1",36.240901,1.949811,307080,4318854,0.177548682703322,0.0171821305841924,0,0,0.351660939289805,0.441008018327606
"CARLSHIMD1",29.612861,26.651954,363189,4361832,0.232531500572738,0.308132875143184,0.174112256586483,0.0652920962199313,0.176403207331042,0.0194730813287514
"CAUSSUSMD1",18.276035,0.723964,312486,4351978,0.106651376146789,0.00344036697247706,0.00114678899082569,0,0.19151376146789,0.654816513761468
"CLARKELMD1",26.741531,16.854454,362946,4316445,0.209382151029748,0.282608695652174,0.0903890160183066,0,0.236842105263158,0.136155606407323
"COLALISMD1",6.781681,0.129234,328264,4353010,0.00457142857142857,0.00114285714285714,0,0,0.0525714285714286,0.918857142857143
"COLSKATMD1",55.956085,8.328732,340653,4335767,0.20756880733945,0.18348623853211,0.00802752293577982,0,0.536697247706422,0.0596330275229358
"CONAGAIMD1",37.301128,0.015056,341753,4354667,0.0011441647597254,0,0,0,0.346681922196796,0.565217391304348
"CONNDAVMD1",45.115432,7.40025,336431,4331163,0.274397244546498,0.177956371986223,0,0,0.340987370838117,0.184845005740528
"COULMARMD1",45.033878,4.795483,362323,4328154,0.424173318129989,0.0467502850627138,0.00114025085518814,0,0.273660205245154,0.140250855188141
"COWLANDMD1",25.326223,0.046424,412719,4312905,0.00343642611683849,0.00229095074455899,0,0,0.328751431844215,0.624284077892325
"CRONCHRVA1",32.359375,11.076823,295136,4277318,0.193548387096774,0.271889400921659,0.00806451612903226,0,0.29147465437788,0.147465437788018
"DALEELIMD1",24.718946,0.01882,364049,4393717,0.00114678899082569,0,0,0,0.254587155963303,0.739678899082569
"DANIBARMD1",75.718017,0.016506,367160,4319251,0.00114285714285714,0,0,0,0.416,0
"DAVIALIVA1",39.814304,23.306148,318180,4307590,0.22680412371134,0.25085910652921,0.147766323024055,0.0309278350515464,0.342497136311569,0.0011454753722795
"DECHKIMMD2",65.972396,2.582183,361512,4322595,0.106896551724138,0.0459770114942529,0.00114942528735632,0,0.632183908045977,0.109195402298851
"DELUKARVA1",47.9197,9.422835,312606,4308514,0.258323765786452,0.188289322617681,0.0137772675086108,0.00229621125143513,0.474167623421355,0.0413318025258324
"DORNROBMD1",20.959938,9.385802,368199,4306189,0.247695852534562,0.17741935483871,0,0,0.119815668202765,0.0725806451612903
"DRAKBERMD1",79.747802,0.012547,362546,4299004,0.0102974828375286,0,0,0,0.861556064073226,0.0640732265446224
"EARLNANMD1",14.298969,12.886597,366246,4300353,0.164179104477612,0.0723306544202067,0.0298507462686567,0.0195177956371986,0.0803673938002296,0.125143513203215
"EDEREDWVA1",25.792974,10.580928,321702,4287660,0.432,0.212571428571429,0.00685714285714286,0,0.0891428571428571,0.259428571428571
"EGANMARMD1",49.695186,6.084224,317176,4313079,0.203661327231121,0.0892448512585812,0.0102974828375286,0,0.469107551487414,0.0983981693363844
"EGGELESVA1",14.351317,36.008781,313913,4304024,0.243119266055046,0.311926605504587,0.262614678899083,0.0928899082568807,0.055045871559633,0.0194954128440367
"EVANMICMD1",23.633501,13.211586,315292,4325354,0.521191294387171,0.189003436426117,0.0618556701030928,0.0011454753722795,0.156930126002291,0.0504009163802978
"FAGABERMD1",23.188205,34.347553,325019,4317084,0.196796338672769,0.372997711670481,0.22883295194508,0.0732265446224256,0.080091533180778,0.0263157894736842
"FARYSIMMD1",19.95985,29.797992,325249,4317482,0.233409610983982,0.441647597254005,0.200228832951945,0.0045766590389016,0.0389016018306636,0.0560640732265446
"FERRSUEMD1",26.179422,18.983688,388829,4369573,0.0895522388059701,0.304247990815155,0.12284730195178,0.00229621125143513,0.275545350172216,0.13203214695752
"FISHFERVA1",34.353828,16.91217,315167,4309263,0.404571428571429,0.346285714285714,0.0331428571428571,0,0.152,0.0445714285714286
"FOLEMARMD1",31.129179,11.589665,363795,4314098,0.16532721010333,0.16532721010333,0.0355912743972445,0,0.239954075774971,0.0711825487944891
"FOOSDAVVA1",27.397741,25.91217,315121,4307952,0.305491990846682,0.473684210526316,0.116704805491991,0.0045766590389016,0.0434782608695652,0.0366132723112128
"FORCBREVA1",11.365118,18.446674,291707,4282855,0.0811428571428571,0.313142857142857,0.121142857142857,0.00114285714285714,0.138285714285714,0.313142857142857
"FREYFREMD1",11.966122,13.986198,356342,4359878,0.528604118993135,0.143020594965675,0.115560640732265,0.0102974828375286,0.117848970251716,0.0835240274599542
"FUISLISDC1",12.293601,46.283561,321622,4308700,0.150401836969001,0.229621125143513,0.477611940298507,0.0665901262916188,0.0619977037887486,0.0137772675086108
"GAETHEAMD1",38.611042,10.680049,344743,4349402,0.102298850574713,0.179310344827586,0.0666666666666667,0.00114942528735632,0.452873563218391,0.190804597701149
"GALLTERMD1",56.097965,5.461832,366897,4324695,0.197928653624856,0.103567318757192,0.0161104718066743,0,0.44994246260069,0.0736478711162255
"GARDVALMD1",45.809284,2.335006,361716,4327886,0.426940639269406,0.0136986301369863,0,0,0.244292237442922,0.175799086757991
"GECACARVA1",24.633626,25.734003,315896,4306129,0.252583237657865,0.409873708381171,0.158438576349024,0.0172215843857635,0.0929965556831228,0.0436280137772675
"GELLHERMD1",47.336261,8.913425,338496,4293955,0.188787185354691,0.20137299771167,0.0102974828375286,0,0.458810068649886,0.123569794050343
"GERYERIMD1",22.2133,18.632371,316503,4318818,0.440872560275545,0.420206659012629,0.0114810562571757,0,0.0470723306544202,0.0459242250287026
"GIBSELAMD1",13.97867,30.5069,316938,4323310,0.360091743119266,0.337155963302752,0.212155963302752,0.0596330275229358,0.0194954128440367,0.0114678899082569
"GIESALYVA1",26.797992,15.095357,312544,4310499,0.426773455377574,0.282608695652174,0.0354691075514874,0,0.153318077803204,0.0789473684210526
"GILLEVAMD1",26.104417,0.662143,365188,4298720,0.0217640320733104,0.0103092783505155,0.00229095074455899,0,0.234822451317297,0.47766323024055
"GIRAANGMD1",21.810539,13.181932,307091,4341996,0.0630733944954128,0.227064220183486,0.0619266055045872,0.00688073394495413,0.255733944954128,0.378440366972477
"GOCHJOAMD1",16.058971,0,364368,4390314,0,0,0,0,0.203196347031963,0.796803652968037
"GOMEKARMD1",25.416563,13.195734,363034,4327992,0.377142857142857,0.236571428571429,0.024,0,0.096,0.209142857142857
"GOROCARDC1",54.257213,7.227101,321929,4316095,0.258581235697941,0.109839816933638,0.022883295194508,0,0.381006864988558,0.0869565217391304
"GOUGGREMD1",41.805519,8.363864,316574,4317512,0.428735632183908,0.15632183908046,0,0,0.229885057471264,0.0770114942528736
"HADDMARMD1",29.176914,0,359637,4295079,0,0,0,0,0.3398392652124,0.645235361653272
"HALLDEBVA1",19.23463,22.154329,318854,4294467,0.205949656750572,0.353546910755149,0.121281464530892,0.0308924485125858,0.161327231121281,0.121281464530892
"HAMIMARMD1",27.441696,2.181019,376028,4319064,0.0355504587155963,0.0194954128440367,0.00917431192660551,0.00114678899082569,0.172018348623853,0.294724770642202
"HAMMBARMD1",57.559509,1.530054,361021,4316362,0.051605504587156,0.0240825688073395,0.00229357798165138,0,0.535550458715596,0.0321100917431193
"HARWRANDC1",31.301128,25.713926,320731,4314515,0.284403669724771,0.465596330275229,0.118119266055046,0.00688073394495413,0.0722477064220183,0.00688073394495413
"HAWNJANVA1",17.092847,26.607276,315054,4303270,0.259174311926606,0.489678899082569,0.135321100917431,0.0126146788990826,0.0837155963302752,0.00802752293577982
"HEATSUEVA1",20.371393,25.434127,287443,4302738,0.163030998851894,0.477611940298507,0.140068886337543,0,0.187141216991963,0.0321469575200918
"HERBJOAMD1",48.938518,10.585947,372023,4329352,0.170285714285714,0.221714285714286,0.0137142857142857,0.00342857142857143,0.472,0.0285714285714286
"HIRSMUSDC1",0.664993,56.853199,324517,4306343,0.136467889908257,0.173165137614679,0.456422018348624,0.23394495412844,0,0
"HITCBJMD1",31.143228,13.592448,344359,4330586,0.155606407322654,0.361556064073227,0.0022883295194508,0,0.295194508009153,0.0652173913043478
"HOROBONVA1",63.491844,0.555834,297350,4309154,0.0274599542334096,0.0068649885583524,0,0,0.707093821510298,0.249427917620137
"HULLJEFVA1",28.311166,22.006273,320296,4299607,0.301605504587156,0.467889908256881,0.0688073394495413,0.00802752293577982,0.137614678899083,0.0160550458715596
"HUNTDAVMD2",27.311166,26.705144,326332,4316616,0.238258877434135,0.329896907216495,0.18098510882016,0.0171821305841924,0.131729667812142,0.0515463917525773
"HUNTMARMD1",28.860727,16.375156,366902,4326132,0.260869565217391,0.366132723112128,0.0377574370709382,0.0011441647597254,0.195652173913043,0.123569794050343
"HUTCBARVA1",39.897113,10.494354,317689,4286217,0.252571428571429,0.219428571428571,0.00571428571428571,0.00114285714285714,0.411428571428571,0.0948571428571429
"JACKALADC1",44.429107,21.31744,329772,4303603,0.130884041331803,0.451205510907003,0.0803673938002296,0.00114810562571757,0.336394948335247,0
"JACOAMYMD1",9.069986,0.409946,426034,4298423,0.0357142857142857,0.00238095238095238,0,0,0.0333333333333333,0.55
"JACOSYDMD1",22.159347,20.519447,329657,4320382,0.363428571428571,0.418285714285714,0.0777142857142857,0,0.118857142857143,0.0217142857142857
"JEWELIBMD1",40.805519,15.460476,317644,4314185,0.397701149425287,0.220689655172414,0.0482758620689655,0.0195402298850575,0.229885057471264,0.0436781609195402
"JOHNTHEMD1",9.535758,12.091593,385434,4374841,0.445589919816724,0.252004581901489,0.0206185567010309,0,0.0183276059564719,0.255441008018328
"JONECLAMD1",61.526657,1.221324,362426,4314089,0.0606407322654462,0.0205949656750572,0,0,0.40045766590389,0.062929061784897
"JORABONVA1",20.834379,27.996236,313826,4307339,0.254004576659039,0.560640732265446,0.097254004576659,0.0137299771167048,0.0720823798627002,0.0022883295194508
"KAMILEIVA1",19.027603,26.401506,314592,4303323,0.280641466208477,0.415807560137457,0.13745704467354,0.0274914089347079,0.123711340206186,0.00801832760595647
"KESTSABDC1",19.732748,43.426601,322541,4310202,0.105625717566016,0.12743972445465,0.355912743972445,0.16532721010333,0.146957520091848,0.0229621125143513
"KEYESUSMD1",19.621078,1.242158,300396,4329334,0.125143513203215,0.0137772675086108,0,0,0.218140068886338,0.639494833524684
"KINDFAPMD1",9.754077,3.70138,362655,4328893,0.0838117106773823,0.0838117106773823,0.00574052812858783,0.00114810562571757,0.095292766934558,0.660160734787601
"KNIGSALVA1",70.096611,0,297302,4250319,0,0,0,0,0.871681415929204,0.128318584070796
"KORRHARMD1",27.567127,20.450439,349757,4348779,0.342135476463835,0.350172215843858,0.0987370838117107,0.0068886337543054,0.117106773823192,0.0826636050516648
"KOSLDREMD1",27.76366,7.028339,371360,4310630,0.228310502283105,0.124429223744292,0.00570776255707763,0,0.243150684931507,0.166666666666667
"LAFMELVA1",12.396487,30.260978,312830,4307425,0.254004576659039,0.556064073226545,0.133867276887872,0.0125858123569794,0.0354691075514874,0.0080091533180778
"LANDCELVA1",27.065244,21.98118,305618,4306085,0.287026406429391,0.381171067738232,0.087256027554535,0.0183696900114811,0.185993111366246,0.0401836969001148
"LANGANKVA1",57.528232,3.037641,300710,4312145,0.207093821510297,0.0434782608695652,0,0,0.604118993135011,0.145308924485126
"LERNJEFMD1",36.430362,25.668758,325117,4316649,0.21395881006865,0.31350114416476,0.183066361556064,0.017162471395881,0.203661327231121,0.0183066361556064
"LIEBJUDMD1",41.289836,14.547051,317662,4314154,0.407534246575342,0.223744292237443,0.0376712328767123,0.0171232876712329,0.230593607305936,0.0410958904109589
"LINDHANMD1",38.766624,10.682559,319424,4316589,0.345977011494253,0.213793103448276,0.0275862068965517,0,0.177011494252874,0.0988505747126437
"LLEISUSDC1",5.821831,68.723968,322943,4310169,0.0389908256880734,0.0688073394495413,0.464449541284404,0.354357798165138,0.0355504587155963,0
"LORAJORMD1",49.51192,10.190714,362920,4359970,0.315366972477064,0.238532110091743,0.00917431192660551,0,0.402522935779817,0.0286697247706422
"LUCIDANMD1",26.323101,11.381259,369273,4317037,0.148741418764302,0.130434782608696,0.0560640732265446,0.0068649885583524,0.12929061784897,0.0011441647597254
"LYONLYNVA1",23.439146,20.267251,289140,4298888,0.20137299771167,0.448512585812357,0.0446224256292906,0.0011441647597254,0.216247139588101,0.074370709382151
"MAHOJIMMD1",55.978946,0.95921,366283,4294677,0.0663615560640732,0.0251716247139588,0,0,0.550343249427918,0.118993135011442
